Concessionária ,Bairro,cep
Con2141,Lourdes,30170-010
Con2142,Santo Antonio,30330-270
Con2143,Rio Branco,31535-300
Con2144,Bonfim,31210-450
Con2145,Mangabeiras,30210-340
Con2146,Boa Vista,31050-610
Con2147,Pindorama,30880-590
Con2148,Madre Gertrudes,30512-730
Con2149,Jardinopolis,30510-530
Con2150,Alto Barroca,30431-028
Con2151,Sion,30310-640
Con2152,Barreiro,30642-030
Con2153,Santa Efigenia,30150-240
Con2154,Luxemburgo,30380-600
Con2155,Nazare,31990-230
Con2156,Carlos Prates,30710-010
Con2157,Buritis,30575-140
Con2158,Centro,30170-131
Con2159,Heliopolis,31741-500
Con2160,Cabana do Pai Tomas,30512-240
Con2161,Santa Efigenia,30150-334
Con2162,Santa Ines,31080-390
Con2163,Buritis,30493-165
Con2164,Buritis,30575-110
Con2165,Bonfim,31210-440
Con2166,Belvedere,30320-670
Con2167,Vale do Jatoba Barreiro,30664-260
Con2168,Sao Joao Batista Venda Nova,31520-070
Con2169,Santa Amelia,31560-300
Con2170,LOURDES,30160-041
Con2171,Serra,30240-230
Con2172,Cinquentenario,30570-066
Con2173,Savassi,30140-006
Con2174,Santa Efigenia,30110-915
Con2175,Grajau,30431-189
Con2176,Luxemburgo,30380-530
Con2177,Gutierrez,30441-153
Con2178,Barro Preto,30140-073
Con2179,Santo Antonio,30350-110
Con2180,Santo Agostinho,30180-061
Con2181,Carlos Prates,30710-010
Con2182,Buritis,30575-740
Con2183,Mangabeiras,30210-250
Con2184,Coracao Eucaristico,30535-580
Con2185,Cinquentenario,30570-050
Con2186,Sion,30320-020
Con2187,LOURDES,30160-041
Con2188,Prado,30411-127
Con2189,Sao Gabriel,31985-070
Con2190,Santa Amelia,31560-180
Con2191,Santo Antonio,30350-142
Con2192,Renascenca,31130-590
Con2193,Floramar,31742-093
Con2194,Santa Monica,31530-110
Con2195,Carlos Prates,30710-640
Con2196,Alto Caicaras,30750-220
Con2197,Funcionarios,30110-028
Con2198,Santa Efigenia,30150-340
Con2199,Ipiranga,31140-560
Con2200,Santa Monica,31520-420
Con2201,Padre Eustaquio,30720-450
Con2202,Cachoeirinha,31150-123
Con2203,Ceu Azul,31578-520
Con2204,Cidade Nova,31170-220
Con2205,Jonas Veiga,30285-470
Con2206,Boa Vista,31060-470
Con2207,Santo Agostinho,30140-094
Con2208,Funcionarios,30140-070
Con2209,Padre Eustaquio,30720-100
Con2210,Santa Amelia,31555-290
Con2211,Santo Antonio,30350-220
Con2212,Padre Eustaquio,30720-412
Con2213,Luxemburgo,30380-410
Con2214,Centro,30160-040
Con2215,Buritis,30575-210
Con2216,Coracao de Jesus,30380-252
Con2217,Alvaro Camargos,30860-120
Con2218,Santa Helena Barreiro,30642-160
Con2219,Planalto,31720-485
Con2220,Centro,30160-913
Con2221,Jardim Guanabara,31742-260
Con2222,Jaqueline,31748-509
Con2223,Minascaixa,31615-060
Con2224,Sao Gabriel,31980-120
Con2225,Maria Virginia,31155-510
Con2226,Vila Vista Alegre,30516-060
Con2227,Sao Joao Batista Venda Nova,31520-170
Con2228,Centro,30120-908
Con2229,Sao Francisco,31255-200
Con2230,Rio Branco,31540-745
Con2231,Mangabeiras,30210-090
Con2232,Belvedere,30320-670
Con2233,Nova Vista,31070-010
Con2234,Jardim Atlantico,31560-000
Con2235,Lourdes,30170-122
Con2236,Santa Maria,30525-080
Con2237,Lourdes,30160-042
Con2238,Sao Geraldo,31050-640
Con2239,Gloria,30870-100
Con2240,Floresta,31015-310
Con2241,Buritis,30575-130
Con2242,Diamante Barreiro,30660-560
Con2243,Itapoa,31710-200
Con2244,Itapoa,31710-540
Con2245,Grajau,30431-236
Con2246,Santo Agostinho,30180-098
Con2247,Coracao Eucaristico,30535-580
Con2248,Santa Ines,31080-170
Con2249,Santa Lucia,30360-280
Con2250,Jardim Atlantico,31560-000
Con2251,Barro Preto,30140-073
Con2252,Cidade Nova,31170-200
Con2253,Sao Gabriel,31980-540
Con2254,Alto Caicaras,30750-560
Con2255,Uniao,31160-284
Con2256,Alipio de Melo,30840-330
Con2257,Paqueta,31330-642
Con2258,Estoril,30494-170
Con2259,Camargos,30520-460
Con2260,Savassi,30112-021
Con2261,Ouro Minas,31870-400
Con2262,Buritis,30493-180
Con2263,Sao Gabriel,31980-540
Con2264,Estoril,30494-360
Con2265,Lindeia Barreiro,30690-050
Con2266,Santa Efigenia,30130-094
Con2267,Sao Joao Batista Venda Nova,31520-220
Con2268,Funcionarios,30140-901
Con2269,Lourdes,30180-101
Con2270,Lagoa,31578-290
Con2271,Nova Gameleira,30510-450
Con2272,Vera Cruz,30285-255
Con2273,Padre Eustaquio,30720-380
Con2274,Centro,30170-903
Con2275,Dom Cabral,30535-380
Con2276,Lindeia,30690-580
Con2277,Santa Efigenia,30150-330
Con2278,Lagoa,31578-000
Con2279,Barreiro,30640-570
Con2280,Buritis,30575-847
Con2281,Planalto,31720-100
Con2282,Barro Preto,30190-130
Con2283,Aeroporto,31270-650
Con2284,Anchieta,30310-400
Con2285,Buritis,30575-100
Con2286,Cruzeiro,30310-190
Con2287,Alipio de Melo,30840-180
Con2288,Santa Cruz,31150-240
Con2289,Luxemburgo,30380-435
Con2290,Serrano,30882-570
Con2291,Santa Rosa,31260-590
Con2292,Ceu Azul,31578-530
Con2293,California,30855-075
Con2294,Jardim Guanabara,31742-260
Con2295,Palmares,31155-675
Con2296,Serra,30210-530
Con2297,Buritis,30575-090
Con2298,Caicaras,30770-550
Con2299,Prado,30411-225
Con2300,Barro Preto,30170-044
Con2301,Santa Amelia,31555-120
Con2302,Santo Antonio,30350-213
Con2303,Luxemburgo,30380-403
Con2304,Europa,31620-200
Con2305,Sao Pedro,30330-020
Con2306,Centro,30130-003
Con2307,Gutierrez,30441-008
Con2308,Centro,30160-906
Con2309,Carlos Prates,30710-270
Con2310,Sagrada Familia,31030-492
Con2311,Santo Agostinho,30190-090
Con2312,Ouro Preto,31330-530
Con2313,Santa Rosa,31255-490
Con2314,Cidade Nova,31170-100
Con2315,Santa Branca,31565-010
Con2316,Lourdes,30180-120
Con2317,Buritis,30575-365
Con2318,Nova Granada,30431-320
Con2319,Santo Agostinho,30180-165
Con2320,Funcionarios,30150-331
Con2321,Savassi,30130-135
Con2322,Caicara-Adelaide,30720-530
Con2323,Renascenca,31130-380
Con2324,Coracao de Jesus,30380-380
Con2325,Cidade Jardim,30380-080
Con2326,Nova Suissa,30421-310
Con2327,Castelo,31330-250
Con2328,Santa Efigenia,30130-060
Con2329,Centro,30160-906
Con2330,Buritis,30575-815
Con2331,Havai,30570-720
Con2332,Estoril,30494-170
Con2333,Belvedere,30320-660
Con2334,Lourdes,30170-002
Con2335,NOVA GRANADA,30431-340
Con2336,Parque Sao Pedro Venda Nova,31610-710
Con2337,Coracao de Jesus,30380-490
Con2338,Teixeira Dias Barreiro,30642-290
